DATE,W875RX1
01-12-2009,10505.5
01-01-2010,10490.7
01-02-2010,10487
01-03-2010,10529.1
01-04-2010,10638.7
01-05-2010,10740.6
01-06-2010,10755.9
01-07-2010,10789.5
01-08-2010,10811.8
01-09-2010,10824.2
01-10-2010,10840.9
01-11-2010,10859.3
01-12-2010,10936.6
01-01-2011,11109
01-02-2011,11157.7
01-03-2011,11129.7
01-04-2011,11114.2
01-05-2011,11107.8
01-06-2011,11169.8
01-07-2011,11231.3
01-08-2011,11227.3
01-09-2011,11214
01-10-2011,11219.3
01-11-2011,11211.8
01-12-2011,11330.5
01-01-2012,11426.7
01-02-2012,11514
01-03-2012,11557.9
01-04-2012,11611.8
01-05-2012,11611.6
01-06-2012,11604.7
01-07-2012,11527.5
01-08-2012,11513.8
01-09-2012,11610.3
01-10-2012,11712.5
01-11-2012,11891.8
01-12-2012,12227.2
01-01-2013,11508.6
01-02-2013,11481.2
01-03-2013,11517.7
01-04-2013,11580
01-05-2013,11631.6
01-06-2013,11629.7
01-07-2013,11605.6
01-08-2013,11628.9
01-09-2013,11681.3
01-10-2013,11651.7
01-11-2013,11697
01-12-2013,11731.6
01-01-2014,11800.5
01-02-2014,11870.9
01-03-2014,11933
01-04-2014,11965.2
01-05-2014,11993.1
01-06-2014,12042.7
01-07-2014,12085.3
01-08-2014,12150.7
01-09-2014,12196.7
01-10-2014,12257
01-11-2014,12329.5
01-12-2014,12408.3
01-01-2015,12507.8
01-02-2015,12552.7
01-03-2015,12508.2
01-04-2015,12543.4
01-05-2015,12569.5
01-06-2015,12576.7
01-07-2015,12599.4
01-08-2015,12627.1
01-09-2015,12663
01-10-2015,12700.5
01-11-2015,12694.1
01-12-2015,12743.1
01-01-2016,12751.1
01-02-2016,12745.9
01-03-2016,12745.1
01-04-2016,12725.5
01-05-2016,12719.2
01-06-2016,12735.5
01-07-2016,12787.7
01-08-2016,12793.7
01-09-2016,12830.4
01-10-2016,12841
01-11-2016,12881.2
01-12-2016,12917.3
01-01-2017,12961.8
01-02-2017,13002.5
01-03-2017,13053.8
01-04-2017,13084.5
01-05-2017,13174.4
01-06-2017,13179.2
01-07-2017,13220.1
01-08-2017,13232.1
01-09-2017,13265
01-10-2017,13309
01-11-2017,13360.3
01-12-2017,13387.6
01-01-2018,13379.4
01-02-2018,13397.4
01-03-2018,13423.2
01-04-2018,13443.2
01-05-2018,13478.9
01-06-2018,13532.4
01-07-2018,13605.1
01-08-2018,13663.3
01-09-2018,13663.7
01-10-2018,13690.1
01-11-2018,13736.2
01-12-2018,13919.2
01-01-2019,13911.2
01-02-2019,13967.1
01-03-2019,13994.1
01-04-2019,13978.8
01-05-2019,13982.3
01-06-2019,13997.8
01-07-2019,14002.8
01-08-2019,14081.3
01-09-2019,14115
01-10-2019,14140.6
01-11-2019,14218.2
01-12-2019,14175.3
01-01-2020,14312.2
01-02-2020,14415.4
01-03-2020,14058.3
01-04-2020,13240.1
01-05-2020,13517.4
01-06-2020,13785.7
01-07-2020,13907.8
01-08-2020,14041.6
01-09-2020,14171.7
01-10-2020,14366.3
01-11-2020,14324.8
01-12-2020,14314.6
01-01-2021,14204.9
01-02-2021,14187.1
01-03-2021,14270.1
01-04-2021,14358.2
01-05-2021,14410.4
01-06-2021,14436.8
01-07-2021,14482.6
01-08-2021,14476.1
01-09-2021,14516.5
01-10-2021,14588.7
01-11-2021,14599.9
01-12-2021,14579.5
01-01-2022,14515
01-02-2022,14526.8
01-03-2022,14481.6
01-04-2022,14505.4
01-05-2022,14514.6
01-06-2022,14457.8
01-07-2022,14557.7
01-08-2022,14583.2
