DATE,CMRMTSPL
01-07-2013,1314276
01-08-2013,1319628
01-09-2013,1323701
01-10-2013,1331422
01-11-2013,1347662
01-12-2013,1342339
01-01-2014,1328414
01-02-2014,1339979
01-03-2014,1350652
01-04-2014,1352609
01-05-2014,1356343
01-06-2014,1355815
01-07-2014,1364444
01-08-2014,1366998
01-09-2014,1366811
01-10-2014,1368570
01-11-2014,1372234
01-12-2014,1380177
01-01-2015,1382524
01-02-2015,1376941
01-03-2015,1384614
01-04-2015,1395091
01-05-2015,1381123
01-06-2015,1383784
01-07-2015,1386840
01-08-2015,1388664
01-09-2015,1403145
01-10-2015,1399866
01-11-2015,1396940
01-12-2015,1394894
01-01-2016,1395837
01-02-2016,1407109
01-03-2016,1407621
01-04-2016,1405968
01-05-2016,1398587
01-06-2016,1406826
01-07-2016,1405222
01-08-2016,1416348
01-09-2016,1417950
01-10-2016,1420099
01-11-2016,1420567
01-12-2016,1437758
01-01-2017,1441368
01-02-2017,1439259
01-03-2017,1435889
01-04-2017,1430985
01-05-2017,1436722
01-06-2017,1441372
01-07-2017,1447234
01-08-2017,1455350
01-09-2017,1462620
01-10-2017,1470547
01-11-2017,1481745
01-12-2017,1492183
01-01-2018,1472617
01-02-2018,1479553
01-03-2018,1476040
01-04-2018,1475240
01-05-2018,1485326
01-06-2018,1480149
01-07-2018,1484336
01-08-2018,1490918
01-09-2018,1490712
01-10-2018,1487127
01-11-2018,1490145
01-12-2018,1489463
01-01-2019,1494210
01-02-2019,1496260
01-03-2019,1493353
01-04-2019,1478340
01-05-2019,1485481
01-06-2019,1493211
01-07-2019,1494399
01-08-2019,1500336
01-09-2019,1496673
01-10-2019,1483091
01-11-2019,1489085
01-12-2019,1485467
01-01-2020,1478709
01-02-2020,1488825
01-03-2020,1428936
01-04-2020,1256135
01-05-2020,1357116
01-06-2020,1465484
01-07-2020,1504500
01-08-2020,1509447
01-09-2020,1518387
01-10-2020,1526985
01-11-2020,1523747
01-12-2020,1529685
01-01-2021,1567734
01-02-2021,1523644
01-03-2021,1579651
01-04-2021,1571789
01-05-2021,1545700
01-06-2021,1550862
01-07-2021,1556129
01-08-2021,1550314
01-09-2021,1557826
01-10-2021,1561812
01-11-2021,1564342
01-12-2021,1557340
01-01-2022,1585920
01-02-2022,1572587
01-03-2022,1554031
01-04-2022,1551827
01-05-2022,1541414
01-06-2022,1536205
01-07-2022,1545055
01-08-2022,1570466
