DATE,INDPRO,% chg
01-07-1999,89.3119,-0.578955785
01-08-1999,89.7109,-0.446748977
01-09-1999,89.3331,0.421130543
01-10-1999,90.4924,-1.29772727
01-11-1999,90.965,-0.522253803
01-12-1999,91.6804,-0.786456329
01-01-2000,91.6261,0.05922749
01-02-2000,91.9626,-0.367253435
01-03-2000,92.3118,-0.379719582
01-04-2000,92.8872,-0.623322262
01-05-2000,93.162,-0.2958427
01-06-2000,93.2168,-0.058822267
01-07-2000,93.04,0.189665382
01-08-2000,92.79,0.268701634
01-09-2000,93.1547,-0.393038043
01-10-2000,92.8361,0.342011729
01-11-2000,92.8395,-0.003662368
01-12-2000,92.5334,0.329708799
01-01-2001,92.0304,0.543587505
01-02-2001,91.4079,0.676406926
01-03-2001,91.1751,0.254682582
01-04-2001,90.8767,0.327282339
01-05-2001,90.375,0.552066701
01-06-2001,89.8626,0.566970954
01-07-2001,89.3288,0.594017979
01-08-2001,89.2201,0.12168528
01-09-2001,88.7478,0.52936502
01-10-2001,88.4755,0.306824507
01-11-2001,87.9631,0.579143379
01-12-2001,87.9329,0.034332578
01-01-2002,88.5452,-0.696326403
01-02-2002,88.5362,0.0101643
01-03-2002,89.2097,-0.76070579
01-04-2002,89.6389,-0.481113601
01-05-2002,90.0271,-0.43307091
01-06-2002,90.7645,-0.819086697
01-07-2002,90.7437,0.022916449
01-08-2002,90.6268,0.12882437
01-09-2002,90.7241,-0.107363385
01-10-2002,90.4879,0.260349786
01-11-2002,90.9823,-0.546371393
01-12-2002,90.4919,0.539005939
01-01-2003,91.2395,-0.826151291
01-02-2003,91.3384,-0.108396035
01-03-2003,91.069,0.294947142
01-04-2003,90.4913,0.634354171
01-05-2003,90.4697,0.023869698
01-06-2003,90.5899,-0.132862163
01-07-2003,91.0614,-0.520477448
01-08-2003,90.8452,0.237422223
01-09-2003,91.4453,-0.660574252
01-10-2003,91.5595,-0.1248834
01-11-2003,92.1763,-0.673660297
01-12-2003,92.2532,-0.083427085
01-01-2004,92.4067,-0.166389892
01-02-2004,92.9687,-0.608181009
01-03-2004,92.6,0.396585087
01-04-2004,92.9761,-0.406155508
01-05-2004,93.6446,-0.71900198
01-06-2004,92.9303,0.762777565
01-07-2004,93.6109,-0.732376846
01-08-2004,93.6958,-0.090694567
01-09-2004,93.7958,-0.10672837
01-10-2004,94.6226,-0.881489363
01-11-2004,94.8491,-0.239371989
01-12-2004,95.5841,-0.774915102
01-01-2005,95.9285,-0.360310972
01-02-2005,96.6287,-0.729918637
01-03-2005,96.4907,0.142814712
01-04-2005,96.6809,-0.197117442
01-05-2005,96.7925,-0.11543128
01-06-2005,97.19,-0.410672314
01-07-2005,96.8981,0.300339541
01-08-2005,97.2223,-0.334578284
01-09-2005,95.3463,1.929598456
01-10-2005,96.4981,-1.208017511
01-11-2005,97.5646,-1.105203108
01-12-2005,98.0222,-0.469022576
01-01-2006,98.2044,-0.185876261
01-02-2006,98.2404,-0.036658235
01-03-2006,98.4742,-0.23798763
01-04-2006,98.7765,-0.306983961
01-05-2006,98.7884,-0.0120474
01-06-2006,99.1069,-0.322406274
01-07-2006,99.0357,0.071841617
01-08-2006,99.4583,-0.426714811
01-09-2006,99.2544,0.205010542
01-10-2006,99.1514,0.103773737
01-11-2006,99.0974,0.054462166
01-12-2006,100.1117,-1.023538458
01-01-2007,99.7226,0.38866586
01-02-2007,100.6919,-0.971996318
01-03-2007,100.8857,-0.192468312
01-04-2007,101.5777,-0.685924764
01-05-2007,101.6481,-0.069306551
01-06-2007,101.6741,-0.025578442
01-07-2007,101.5627,0.10956576
01-08-2007,101.7751,-0.209131896
01-09-2007,102.0279,-0.248390815
01-10-2007,101.7289,0.293057095
01-11-2007,102.3185,-0.579579647
01-12-2007,102.3074,0.010848478
01-01-2008,102.1686,0.135669561
01-02-2008,101.7673,0.392782127
01-03-2008,101.3986,0.362297123
01-04-2008,100.7238,0.665492423
01-05-2008,100.1399,0.579704102
01-06-2008,99.9141,0.225484547
01-07-2008,99.4943,0.420160918
01-08-2008,97.9367,1.565516819
01-09-2008,93.6585,4.36833179
01-10-2008,94.5845,-0.988698303
01-11-2008,93.3455,1.309939789
01-12-2008,90.7183,2.814490254
01-01-2009,88.4683,2.480205207
01-02-2009,87.936,0.601684445
01-03-2009,86.5503,1.575805131
01-04-2009,85.8598,0.797801972
01-05-2009,84.9991,1.002448177
01-06-2009,84.7277,0.319297498
01-07-2009,85.7091,-1.15829888
01-08-2009,86.6333,-1.07829857
01-09-2009,87.3615,-0.840554383
01-10-2009,87.5488,-0.214396502
01-11-2009,87.9144,-0.417595672
01-12-2009,88.2318,-0.361033005
01-01-2010,89.1936,-1.090083167
01-02-2010,89.5089,-0.3535007
01-03-2010,90.1449,-0.710543868
01-04-2010,90.474,-0.36507889
01-05-2010,91.7131,-1.369564737
01-06-2010,91.9287,-0.235080921
01-07-2010,92.2737,-0.37529085
01-08-2010,92.615,-0.369877874
01-09-2010,92.8668,-0.271878205
01-10-2010,92.6138,0.272433205
01-11-2010,92.6772,-0.068456321
01-12-2010,93.5741,-0.967767693
01-01-2011,93.3793,0.208177263
01-02-2011,93.0051,0.400731211
01-03-2011,93.978,-1.046071667
01-04-2011,93.6525,0.346357658
01-05-2011,93.7878,-0.144470249
01-06-2011,94.0378,-0.26655919
01-07-2011,94.5146,-0.507030152
01-08-2011,95.1263,-0.647201596
01-09-2011,95.0732,0.055820525
01-10-2011,95.7291,-0.689889475
01-11-2011,95.7455,-0.017131677
01-12-2011,96.2147,-0.490049141
01-01-2012,96.8051,-0.613627647
01-02-2012,97.1033,-0.308041622
01-03-2012,96.5973,0.521094546
01-04-2012,97.3006,-0.72807418
01-05-2012,97.5046,-0.20965955
01-06-2012,97.4903,0.014665975
01-07-2012,97.7234,-0.239100711
01-08-2012,97.313,0.419960828
01-09-2012,97.2405,0.074501865
01-10-2012,97.561,-0.329595179
01-11-2012,97.9589,-0.407847398
01-12-2012,98.2061,-0.252350731
01-01-2013,98.199,0.007229693
01-02-2013,98.6835,-0.49338588
01-03-2013,99.0994,-0.421448368
01-04-2013,98.9898,0.110596028
01-05-2013,99.0782,-0.08930213
01-06-2013,99.2141,-0.137164381
01-07-2013,98.9132,0.303283505
01-08-2013,99.4891,-0.58222765
01-09-2013,100.0172,-0.530811918
01-10-2013,99.9038,0.113380499
01-11-2013,100.1479,-0.24433505
01-12-2013,100.3576,-0.209390312
01-01-2014,99.9828,0.373464491
01-02-2014,100.7485,-0.765831723
01-03-2014,101.7391,-0.983240445
01-04-2014,101.8023,-0.062119677
01-05-2014,102.2116,-0.402053785
01-06-2014,102.5637,-0.344481448
01-07-2014,102.8425,-0.271831067
01-08-2014,102.6499,0.187276661
01-09-2014,102.9647,-0.30667346
01-10-2014,102.9704,-0.005535878
01-11-2014,103.6017,-0.61308881
01-12-2014,103.592,0.009362781
01-01-2015,102.798,0.766468453
01-02-2015,102.1554,0.625109438
01-03-2015,101.8077,0.340363799
01-04-2015,101.2285,0.568915711
01-05-2015,100.7536,0.469136656
01-06-2015,100.4529,0.298450874
01-07-2015,101.11,-0.654137412
01-08-2015,100.8802,0.227277223
01-09-2015,100.608,0.269825
01-10-2015,100.151,0.454238232
01-11-2015,99.3817,0.768140108
01-12-2015,98.8572,0.52776316
01-01-2016,99.4086,-0.557774244
01-02-2016,98.8946,0.51705788
01-03-2016,98.1385,0.764551351
01-04-2016,98.4364,-0.303550594
01-05-2016,98.2096,0.230402575
01-06-2016,98.6766,-0.475513595
01-07-2016,98.8371,-0.162652544
01-08-2016,98.7302,0.108157767
01-09-2016,98.6287,0.102805423
01-10-2016,98.7126,-0.085066517
01-11-2016,98.3004,0.417575872
01-12-2016,98.9063,-0.616375925
01-01-2017,98.7349,0.173295331
01-02-2017,98.4178,0.321163034
01-03-2017,99.0726,-0.665326801
01-04-2017,100.0545,-0.991091381
01-05-2017,100.139,-0.084453973
01-06-2017,100.3148,-0.175555977
01-07-2017,100.1418,0.172457105
01-08-2017,99.6878,0.45335714
01-09-2017,99.7829,-0.095397832
01-10-2017,101.0401,-1.25993532
01-11-2017,101.226,-0.183986358
01-12-2017,101.3878,-0.159840357
01-01-2018,101.345,0.042214152
01-02-2018,101.7068,-0.356998372
01-03-2018,102.2785,-0.562105975
01-04-2018,103.434,-1.129758454
01-05-2018,102.4735,0.928611482
01-06-2018,103.2508,-0.758537573
01-07-2018,103.4588,-0.201451224
01-08-2018,104.1802,-0.697282396
01-09-2018,104.1665,0.013150292
01-10-2018,104.0476,0.114144183
01-11-2018,103.9603,0.083903906
01-12-2018,103.869,0.087821986
01-01-2019,103.2684,0.578228345
01-02-2019,102.8157,0.438372242
01-03-2019,102.9,-0.081991369
01-04-2019,102.3826,0.50281827
01-05-2019,102.5756,-0.188508594
01-06-2019,102.5928,-0.01676812
01-07-2019,102.2012,0.381703199
01-08-2019,102.9086,-0.692164084
01-09-2019,102.579,0.320284213
01-10-2019,101.7775,0.781349009
01-11-2019,102.0979,-0.314804353
01-12-2019,101.7632,0.327822609
01-01-2020,101.303,0.452226345
01-02-2020,101.7038,-0.395644749
01-03-2020,97.8746,3.76505106
01-04-2020,84.959,13.19606926
01-05-2020,86.3345,-1.619016231
01-06-2020,91.7523,-6.275359213
01-07-2020,95.2439,-3.805463187
01-08-2020,96.1173,-0.917014108
01-09-2020,96.0711,0.048066269
01-10-2020,96.825,-0.784731308
01-11-2020,97.1183,-0.302917635
01-12-2020,98.138,-1.049956599
01-01-2021,99.2645,-1.147873403
01-02-2021,96.2231,3.063935244
01-03-2021,98.8621,-2.742584681
01-04-2021,99.0246,-0.16437037
01-05-2021,99.7785,-0.761325974
01-06-2021,100.1923,-0.414718602
01-07-2021,100.8724,-0.678794678
01-08-2021,100.837,0.035093841
01-09-2021,99.8498,0.979005722
01-10-2021,101.3602,-1.512672033
01-11-2021,101.961,-0.592737583
01-12-2021,101.7587,0.198409196
01-01-2022,102.146,-0.380606277
01-02-2022,102.8987,-0.736886417
01-03-2022,103.5717,-0.654041305
01-04-2022,104.2709,-0.675087886
01-05-2022,104.1646,0.101945989
01-06-2022,104.0772,0.083905665
01-07-2022,104.7577,-0.653841571
01-08-2022,104.6544,0.098608503
